"Source:"	"C:\Users\cianv\Documents\Gaugge brakeout bord\Gauge MCU+TRANSEIVER_v0.1\Gauge MCU+TRANSEIVER_v0.1.sch"
"Date:"	"27/06/2021 18:34:01"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"42"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"10uF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2"	"100nF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C3"	"100nF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C4"	"100nF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C5"	"100nF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C6"	"10uF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C7"	"10uF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C8"	"C_Small"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C9"	"100nF"	"Device:C_Small"	"Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"D1"	"B5819W"	"Device:D_Schottky_Small"	"Diode_SMD:D_SMA-SMB_Universal_Handsoldering"	"Schottky diode, small symbol"	""
"D2"	"YELLOW"	"Device:LED_Small"	"Diode_SMD:D_SMA-SMB_Universal_Handsoldering"	"Light emitting diode, small symbol"	""
"D3"	"YELLOW"	"Device:LED_Small"	"Diode_SMD:D_SMA-SMB_Universal_Handsoldering"	"Light emitting diode, small symbol"	""
"D4"	"LED"	"Device:LED"	"Diode_SMD:D_SMA-SMB_Universal_Handsoldering"	"Light emitting diode"	""
"D5"	"GREEN"	"Device:LED_Small"	"Diode_SMD:D_SMA-SMB_Universal_Handsoldering"	"Light emitting diode, small symbol"	""
"D6"	"RED"	"Device:LED_Small"	"Diode_SMD:D_SMA-SMB_Universal_Handsoldering"	"Light emitting diode, small symbol"	""
"F1"	"500mA"	"Device:Fuse_Small"	"Fuse:Fuse_2010_5025Metric_Pad1.52x2.65mm_HandSolder"	"Fuse, small symbol"	""
"FB1"	"100 @ 100Mhz"	"Device:Ferrite_Bead_Small"	"Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder"	"Ferrite bead, small symbol"	""
"H1"	"MountingHole_Pad"	"Mechanical:MountingHole_Pad"	"MountingHole:MountingHole_3.2mm_M3_Pad_Via"	"Mounting Hole with connection"	""
"H2"	"MountingHole_Pad"	"Mechanical:MountingHole_Pad"	"MountingHole:MountingHole_3.2mm_M3_Pad_Via"	"Mounting Hole with connection"	""
"H3"	"MountingHole_Pad"	"Mechanical:MountingHole_Pad"	"MountingHole:MountingHole_3.2mm_M3_Pad_Via"	"Mounting Hole with connection"	""
