Designator,Mid X,Mid Y,Layer,Rotation
C1,-12.5875,-9.5,top,180
C2,-12.6375,-7.5,top,180
C3,-12.736,6.332,top,0
C4,-13.244,-12.8185,top,90
C5,-18,4.5,top,90
C6,11.8875,8.75,top,180
C7,8.75,5.75,top,90
C8,-23.5,6,top,180
D1,17.3,-4.48,top,0
D2,2,14,top,180
D3,2.0375,22,top,180
D4,2.0375,18,top,180
D5,-25.25,-7.2125,top,90
D6,-23,-7.2875,top,90
F1,16.7375,0.6,top,0
FB1,16.94,4.41,top,0
IC1,-27,0.25,top,0
J5,-34.90002,1.19178,top,180
P1,0.25,-42,top,0
R1,-7.64,5.824,top,0
R2,6,14,top,0
R3,6,22,top,0
R4,6,18,top,0
R5,-1.306,-5.59,top,90
R6,-1.306,5.554,top,270
R7,-25.25,-11.25,top,270
R8,-23,-11.25,top,270
R9,-2.75,-32.0875,top,270
U1,12.13,5.68,top,0
U2,-5.75,-12.25,top,0
U3,-12.75,-0.5,top,315
